Date,Open,High,Low,Close,Adj Close,Volume
2016-03-04,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-08,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-09,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-10,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-11,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-14,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-15,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-16,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-17,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-18,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-21,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-22,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-23,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-28,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-29,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-30,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-03-31,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-01,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-04,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-05,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-06,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-07,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-08,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-11,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-12,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-13,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-18,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-20,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-21,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-22,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-25,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-26,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-27,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-28,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-04-29,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-02,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-03,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-04,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-05,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-06,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-09,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-10,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-11,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-12,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-13,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-16,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-17,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-18,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-19,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-20,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-23,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-24,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-25,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-26,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-27,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-30,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-05-31,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-01,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-02,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-03,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-06,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-07,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-08,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-09,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-10,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-13,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-14,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-15,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-16,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-17,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-20,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-21,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-22,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-23,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0
2016-06-24,32.5,32.5,32.5,32.5,32.5,10000
2016-06-27,32.5,32.5,32.5,32.5,32.5,0
2016-06-28,31.0,34.0,31.0,34.0,34.0,75400
2016-06-29,34.0,34.0,34.0,34.0,34.0,0
2016-06-30,34.0,34.0,34.0,34.0,34.0,0
2016-07-01,34.0,34.0,34.0,34.0,34.0,0
2016-07-04,34.0,34.0,34.0,34.0,34.0,0
2016-07-05,34.0,34.0,34.0,34.0,34.0,0
2016-07-07,34.0,34.0,34.0,34.0,34.0,0
2016-07-08,34.0,34.0,34.0,34.0,34.0,0
2016-07-11,34.0,34.0,34.0,34.0,34.0,0
2016-07-12,34.0,34.0,34.0,34.0,34.0,0
2016-07-13,34.0,34.0,34.0,34.0,34.0,0
2016-07-14,34.0,34.0,34.0,34.0,34.0,0
2016-07-15,34.0,34.0,34.0,34.0,34.0,0
2016-07-18,34.0,34.0,34.0,34.0,34.0,0
2016-07-19,34.0,34.0,34.0,34.0,34.0,0
2016-07-20,34.0,34.0,34.0,34.0,34.0,0
2016-07-21,34.0,34.0,34.0,34.0,34.0,0
2016-07-22,32.400001525878906,32.400001525878906,32.400001525878906,32.400001525878906,32.400001525878906,17000
2016-07-25,34.0,34.0,31.100000381469727,31.100000381469727,31.100000381469727,18500
2016-07-26,31.100000381469727,31.100000381469727,31.100000381469727,31.100000381469727,31.100000381469727,0
2016-07-27,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,17000
2016-07-28,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,0
2016-07-29,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,0
2016-08-01,31.0,31.0,28.100000381469727,28.100000381469727,28.100000381469727,12511
2016-08-02,28.100000381469727,28.100000381469727,28.100000381469727,28.100000381469727,28.100000381469727,0
2016-08-03,26.75,26.75,26.75,26.75,26.75,5000
2016-08-04,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,9000
2016-08-05,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,0
2016-08-08,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,0
